Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
Comparison between Dexamethasone and Methylprednisolone Therapy in Patients with COVID-19 Pneumonia Admitted to Non-Intensive Medical Units,34945108,246,Drug(s),Dexamethasone | Methylprednisolone,1-Dec-20,31-Jan-21,62,No,Cohort study,Retrospective,"Treviso, Italy",12-Dec-21
Impact of persistent D-dimer elevation following recovery from COVID-19,34710097,129,Other,,,,,No,,Prospective,"Vienna, Austria",28-Oct-21
"Beclin-1, an autophagy-related protein, is associated with the disease severity of COVID-19",33984360,129,Other,,,,,No,"Single-center, cross-sectional study",Retrospective,"Hatay, Turkey",1-Aug-21
Persistence of Robust Humoral Immune Response in Coronavirus Disease 2019 Convalescent Individuals Over 12 Months After Infection,35071683,497,Other,,,,,No,,,Japan,10-Dec-21
The antibody response to SARS-CoV-2 infection persists over at least 8 months in symptomatic patients,35072166,"4,735",Other,,,,,No,"Observational, cohort study",Prospective,"Milano, Italy",17-Sep-21
Epidemiological Characteristics of Hospitalized Patients with Moderate versus Severe COVID-19 Infection: A Retrospective Cohort Single Centre Study,35076497,"1,002",Other,,3-Mar-20,9-Sep-20,191,No,"Single-centre, cohort study",Retrospective,"Muscat, Oman",23-Dec-21
Pattern of ocular manifestations and the prevalence of severe acute respiratory syndrome coronavirus-2 in tears of hospitalized coronavirus disease 2019 patients,35070667,804,Other,,15-Sep-20,15-Nov-20,62,No,"Population-based, observational study",Prospective,India,6-Dec-21
5-Hydroxymethylcytosine Signatures in Circulating Cell-Free DNA as Early Warning Biomarkers for COVID-19 Progression and Myocardial Injury,35071229,256,Other,,,,,No," Multi-center, cohort study",Prospective,"Wuhan, China",6-Jan-22
Red Blood Cell Distribution Width in Hospitalized COVID-19 Patients,35071250,294,Other,,20-Jan-20,25-Apr-20,97,No, Descriptive study,Retrospective,"New York, USA",7-Jan-22
The Prognostic Capacity of the Radiographic Assessment for Lung Edema Score in Patients With COVID-19 Acute Respiratory Distress Syndrome-An International Multicenter Observational Study,35071263,139,Other,,1-Dec-19,31-May-20,183,No," An international, multicenter, observational study",Retrospective,"The Netherlands, Italy, Belgium, and Thailand",5-Jan-22
"Genome Sequencing Reveals a Mixed Picture of SARS-CoV-2 Variant of Concern Circulation in Eastern Uttar Pradesh, India",35071267,87,Other,,18-Mar-20,31-Jul-21,501,No,,,"Uttar Pradesh, India",7-Jan-22
Malnutrition Contributes to Low Lymphocyte Count in Early-Stage Coronavirus Disease-2019,35071291,101,Other,,6-Feb-20,20-Mar-20,44,No,Observational study,Prospective,"Wuhan, China",6-Jan-22
Frequent Constriction-Like Echocardiographic Findings in Elite Athletes Following Mild COVID-19: A Propensity Score-Matched Analysis,35071343,214,Other,,,,,No,Cohort study,Prospective,"Budapest, Hungary",5-Jan-22
Evaluation of I-TAC as a potential early plasma marker to differentiate between critical and non-critical COVID-19,35083423,39,Other,,17-Apr-20,18-Dec-20,246,No,Cohort study,,"OK, USA",21-Dec-21
"Favipiravir treatment does not influence disease progression among adult patients hospitalized with moderate-to-severe COVID-19: a prospective, sequential cohort study from Hungary",34476717,150,Drug(s),Favipiravir,,,,No,Sequential cohort study,Prospective,"Budapest, Hungary",3-Sep-21
Observational study of the effects of Favipiravir vs Lopinavir/Ritonavir on clinical outcomes in critically Ill patients with COVID-19,33128482,107,Drug(s),Favipiravir | Lopinavir/Ritonavir,19-Mar-20,30-May-20,73,No,Observational study,Retrospective,"Sakarya, Turkey",31-Oct-20
Effect of Dexamethasone on Days Alive and Ventilator-Free in Patients With Moderate or Severe Acute Respiratory Distress Syndrome and COVID-19: The CoDEX Randomized Clinical Trial,32876695,299,Drug(s),Dexamethasone,17-Apr-20,21-Jul-20,96,No,Randomized clinical trial,Prospective,Brazil,6-Oct-20
"Favipiravir in the treatment of patients with SARS-CoV-2 RNA recurrent positive after discharge: A multicenter, open-label, randomized trial",33930706,55,Drug(s),Favipiravir,27-Mar-20,9-May-20,44,No,"Multicenter, open-label, randomized controlled trial",Prospective,China,21-Apr-21
Favipiravir versus standard of care in patients with severe COVID-19 infections: A retrospective comparative study,34464921,226,Drug(s),Favipiravir,18-Apr-20,27-Oct-20,193,No,Comparative study,Retrospective," Alahsa, Saudi Arabia",24-Aug-21
"Combination of (interferon beta-1b, lopinavir/ritonavir and ribavirin) versus favipiravir in hospitalized patients with non-critical COVID-19: A cohort study",34111191,222,Drug(s) | Others,Interferon beta-1b | Lopinavir/Ritonavir | Ribavirin | Favipiravir,1-May-20,30-Sep-20,153,No,"Single center, observational, comaparative study",Prospective,"Riyadh, Saudi Arabia",10-Jun-21
Evaluation of adalimumab effects in managing severe cases of COVID-19: A randomized controlled trial,34426106,68,Drug(s) | Oxygen support,Adalimumab | Remdesvir | Dexamethasone,,,,No, Randomized controlled trial,Prospective,"Tehran, Iran",7-Jul-21
Benefits of treatment with favipiravir in hospitalized patients for COVID-19: a retrospective observational case-control study,34034765,144,None/Observatory,,,,,No,"Observational, case-controlled, cohort study",Retrospective,"Eskişehir, Turkey",25-May-21
Effects on mortality of early vs late administration of convalescent plasma in the treatment of Covid-19,33962885,141,Plasma,,1-May-20,30-Sep-20,153,No,Comparative study,Retrospective,"Sakarya, Turkey",24-Apr-21
Serum cytokine levels of COVID-19 patients after 7 days of treatment with Favipiravir or Kaletra,33631512,48,Drug(s) | Other,Favipiravir | Lopinavir/Ritonavir,10-Apr-20,9-May-20,30,No,Observational study,Retrospective,"Tehran, Iran",22-Jan-21
Effectiveness and safety of favipiravir compared to supportive care in moderately to critically ill COVID-19 patients: a retrospective study with propensity score matching sensitivity analysis,33890544,457,Drug(s), Favipiravir ,,,,No,Observational study,Retrospective,"Riyadh, Saudi Arabia",19-May-21
Evaluation of the effectiveness and safety of adding ivermectin to treatment in severe COVID-19 patients,33947344,60,Drug(s),Ivermectin,,,,No,"Randomized, controlled, single-blind phase 3 study",Prospective,Turkey,4-May-21
The comparison of favipiravir and lopinavir/ritonavir combination in COVID-19 treatment,33726482,204,Drug(s),Favipiravir | Lopinavir/Ritonavir,30-Mar-20,30-Sep-20,185,No,Comparative study,Retrospective,Turkey,30-Aug-21
Delayed inflammation decrease is associated with mortality in Tocilizumab-treated critically ill SARS-CoV-2 patients: A retrospective matched-cohort analysis,35089113,63,Drug(s),Tocilizumab,1-Mar-20,15-Apr-20,46,No,Matched-cohort analysis,Retrospective,"Paris, France",28-Jan-22
A Differential Signature of Circulating miRNAs and Cytokines Between COVID-19 and Community-Acquired Pneumonia Uncovers Novel Physiopathological Mechanisms of COVID-19,35087533,123,Other,,10-Mar-20,21-Apr-20,43,No,Cohort study,Retrospective,"Madrid, Spain",11-Jan-22
A possible dose-response equation: Viral load after plasma infusion in COVID-19 patients and anti-SARS-CoV-2 antibody titers in convalescent plasma,35088494,38,Plasma,,1-Mar-20,30-Mar-20,30,No,,," Hubei, China",27-Jan-22
The Prognostic Role of Metabolic and Endocrine Parameters for the Clinical Severity of COVID-19,35096202,70,Other,,,,,No,Cross-sectional study,Retrospective,"Mashhad, Iran",20-Jan-22
Evidence of a SARS-CoV-2 double Spike mutation D614G/S939F potentially affecting immune response of infected subjects,35096288,16,Other,,,,,No,,Retrospective,"Rome, Italy",21-Jan-22
"COVID-19 in Pediatrics: Demographic, Clinical, Laboratory, and Radiological Characteristics of Infected Patients With SARS-CoV-2",35096716,91,Other,,14-Mar-20,24-Feb-21,348,No,,Retrospective,"Gorgan, Iran",13-Jan-22
Evaluation of Rapid Antigen Tests Using Nasal Samples to Diagnose SARS-CoV-2 in Symptomatic Patients,35096725,"4,183",Other,,,,,No,Cross-sectional study,,Bahrain,14-Jan-22
Pulmonary Sequelae in Patients After Recovery From Coronavirus Disease 2019: A Follow-Up Study With Chest CT,35096849,273,Other,,3-Feb-20,3-May-20,91,No,Comparative study,Ambispective,"Shenzhen, China",13-Jan-22
The Positive Rate of Nucleic Acid Testing and the Epidemiological Characteristics of COVID-19 in Chongqing,35096891,"7,118",Other,,20-Jan-20,26-Mar-20,67,No,Observational study,Retrospective,"Chongqing, China",14-Jan-22
The Prevalence and Clinical Implications of Rectal SARS-CoV-2 Shedding in Danish COVID-19 Patients and the General Population,35096894,274,Other,,12-Jun-20,28-Feb-21,262,No,,,Denmark,13-Jan-22
Lung Ultrasound as a First-Line Test in the Evaluation of Post-COVID-19 Pulmonary Sequelae,35096906,352,Other,,3-Mar-20,21-Sep-20,203,No,"Single-center, observational study",Prospective,"Barcelona, Spain",13-Jan-22
Oral Bacteriotherapy Reduces the Occurrence of Chronic Fatigue in COVID-19 Patients,35096923,58,Drug(s) | Other," Hydroxychloroquine |
Azithromycin | Lopinavir/Ritonavir |
Darunavir/Cobicistat | LMWH | Tocilizumab | Oral Bacteriotherapy",1-Mar-20,30-Apr-20,61,No,Observational study,Retrospective,"Rome, Italy",12-Jan-22
Methylprednisolone accelerate chest computed tomography absorption in COVID-19: A three-centered retrospective case control study from China,35097067,70,Drug(s) | Oxygen support,Methylprednisolone,27-Jan-20,30-Mar-20,64,No,Case-control study,Retrospective,China,14-Jan-22
Seropositivity of SARS-CoV-2 IgG Antibody among People in Dhaka City during the Prevaccination Period,35097117,239,Other,,,,,No,,,"Dhaka, Bangladesh",27-Jan-22
SARS-CoV-2 infections in patients with autoimmune blistering disorders: a case series and retrospective analysis,35098172,10,Other,,1-Mar-20,31-Aug-21,549,No,Case series study,Retrospective,"North Carolina, USA",24-Jan-22
"Safety and immunogenicity of the SARS-CoV-2 ARCoV mRNA vaccine in Chinese adults: a randomised, double-blind, placebo-controlled, phase 1 trial",35098177,120,Vaccine,,30-Oct-20,2-Dec-20,34,No,"A randomised, double-blind, placebo-controlled, phase 1 trial",Prospective,"Hangzhou, China",24-Jan-22
Evaluation serum levels of Insulin Growth Factor-1 (IGF-1) and its association with clinical parameters in severe COVID-19,35098386,114,Other,,,,,No,Observational study,Retrospective,Iran,31-Jan-22
Effect of a Nutritional Support System to Increase Survival and Reduce Mortality in Patients with COVID-19 in Stage III and Comorbidities: A Blinded Randomized Controlled Clinical Trial,35162195,80,Other,,,,,No,"A blinded, randomized, controlled clinical trial",Prospective,Mexico,21-Jan-22
Is There a Crucial Link Between Vitamin D Status and Inflammatory Response in Patients With COVID-19?,35140702,93,Drug(s),Vitamin D,,,,No,Observational study,Retrospective,"Pisa, Italy",24-Jan-22
"Efficacy of Niclosamide vs Placebo in SARS-CoV-2 Respiratory Viral Clearance, Viral Shedding, and Duration of Symptoms Among Patients With Mild to Moderate COVID-19: A Phase 2 Randomized Clinical Trial",35138402,73,Drug(s),Niclosamide,1-Oct-20,20-Apr-21,202,No,A phase 2 randomized clinical trial,Prospective,"Massachusetts, USA",1-Feb-22
"Efficacy and safety of colchicine treatment in patients with COVID-19: A prospective, multicenter, randomized clinical trial",35107188,202,Drug(s),Colchicine,26-Mar-20,30-Sep-20,189,No,"Multicenter, randomized clinical trial",Prospective,Iran,2-Feb-22
"Hyperimmune immunoglobulin for hospitalised patients with COVID-19 (ITAC): a double-blind, placebo-controlled, phase 3, randomised trial",35093205,579,IVIG,,8-Oct-20,10-Feb-21,126,No,"International randomised, double-blind, placebo-controlled, phase 3 trial",Prospective,,28-Jan-22
Tocilizumab-Induced Unexpected Increase of Several Inflammatory Cytokines in Critically Ill COVID-19 Patients: The Anti-Inflammatory Side of IL-6,35085462,23,Drug(s),Tocilizumab,18-Mar-20,6-May-20,50,No,Cohort study,,"Brussels, Belgium",27-Jan-22
Matrix metalloproteinases (MMP) 3 and 9 as biomarkers of severity in COVID-19 patients,35075175,156,Other,,,,,No,,,"Naples, Italy",24-Jan-22
"Heterologous versus homologous COVID-19 booster vaccination in previous recipients of two doses of CoronaVac COVID-19 vaccine in Brazil (RHH-001): a phase 4, non-inferiority, single blind, randomised study",PMC8782575,"1,205",Vaccine,,16-Aug-21,1-Sep-21,17,No,"A phase 4, non-inferiority, single blind, randomised study",Prospective,"São Paulo, Brazil",21-Jan-22
A phase 2 single center open label randomised control trial for convalescent plasma therapy in patients with severe COVID-19,35046397,80,Plasma,,31-May-20,12-Oct-20,135,No,"A phase 2, single-centered, open label, randomised control trial",Prospective,India,19-Jan-22
"Safety and immunogenicity of a measles-vectored SARS-CoV-2 vaccine candidate, V591 / TMV-083, in healthy adults: results of a randomized, placebo-controlled Phase I study",35045362,90,Vaccine,,10-Aug-20,13-Oct-20,65,No,"A randomized, placebo-controlled, phase I study",Prospective,"France, and Belgium",16-Jan-22
"Safety and immunogenicity of the measles vector-based SARS-CoV-2 vaccine candidate, V591, in adults: results from a phase 1/2 randomised, double-blind, placebo-controlled, dose-ranging trial",35042081,231,Vaccine,,27-Aug-20,1-Dec-20,97,No,"A phase 1/2 randomised, double-blind, placebo-controlled, dose-ranging trial",Prospective,"USA,  Austria, and Belgium",15-Jan-22
Effect of Subcutaneous Casirivimab and Imdevimab Antibody Combination vs Placebo on Development of Symptomatic COVID-19 in Early Asymptomatic SARS-CoV-2 Infection: A Randomized Clinical Trial,35029629,314,Drug(s), Casirivimab | Imdevimab,13-Jul-20,11-Mar-21,242,No,"Randomized, double-blind, placebo-controlled, phase 3 trial",Prospective,"USA, Romania, and Moldova",1-Feb-22
Effect of nanocurcumin supplementation on the severity of symptoms and length of hospital stay in patients with COVID-19: A randomized double-blind placebo-controlled trial,35023260,44,Nanocurcumin ,,,,,No,"A randomized, double-blind, placebo-controlled trial",Prospective,"Tehran, Iran",12-Jan-22
"Probiotic improves symptomatic and viral clearance in Covid19 outpatients: a randomized, quadruple-blinded, placebo-controlled trial",35014600,293,Probiotic,,26-Aug-20,10-Dec-20,107,No,"A randomized, quadruple-blinded, placebo-controlled trial",Prospective,Mexico,11-Jan-22
"High-dose ivermectin for early treatment of COVID-19 (COVER study): a randomised, double-blind, multicentre, phase II, dose-finding, proof-of-concept clinical trial",34999239,93,Drug(s),Ivermectin,31-Jul-20,29-Jun-21,334,No,"A randomised, double-blind, multicentre, phase II, dose-finding, proof-of-concept clinical trial",Prospective,Italy,6-Jan-22
The Effect of Vitamin C on Pathological Parameters and Survival Duration of Critically Ill Coronavirus Disease 2019 Patients: A Randomized Clinical Trial,34975830,120,Drug(s),Vitamin C,,,,No,Randomized controlled trial,Prospective,Iran,15-Dec-21
Eculizumab in patients with severe coronavirus disease 2019 (COVID-19) requiring continuous positive airway pressure ventilator support: Retrospective cohort study,34928990,75,Drug(s),Eculizumab,,,,No,"Single-centre, academic, unblinded study",Retrospective,"Bergamo, Italy",20-Dec-21
Effect of Colchicine vs Usual Care Alone on Intubation and 28-Day Mortality in Patients Hospitalized With COVID-19: A Randomized Clinical Trial,34964849,"1,279",Drug(s),Colchicine,17-Apr-20,28-Mar-21,346,No,"A multicenter, open-label, randomized clinical trial",Prospective, Argentina,1-Dec-21
